States,States,Jobs
53-6041,Alabama,0
53-6051,Alabama,430
53-6061,Alabama,0
53-7011,Alabama,280
53-7021,Alabama,1200
53-7031,Alabama,0
53-7032,Alabama,1250
53-7033,Alabama,180
53-7041,Alabama,70
53-7051,Alabama,9690
53-7061,Alabama,5420
53-7062,Alabama,42840
53-7063,Alabama,1740
53-7064,Alabama,7160
53-7071,Alabama,0
53-7072,Alabama,0
53-7073,Alabama,0
53-7081,Alabama,2070
53-7111,Alabama,50
53-7121,Alabama,600
11-1011,Alaska,760
11-1021,Alaska,6490
Nov-11,Alaska,40
Nov-21,Alaska,200
Nov-22,Alaska,400
Nov-31,Alaska,150
Nov-11,Alaska,530
Nov-21,Alaska,340
Nov-31,Alaska,870
Nov-51,Alaska,110
Nov-61,Alaska,130
Nov-71,Alaska,550
Nov-11,Alaska,0
Nov-21,Alaska,190
Nov-31,Alaska,80
Nov-13,Alaska,0
Nov-21,Alaska,960
Nov-31,Alaska,70
Nov-32,Alaska,620
Nov-33,Alaska,180
Nov-41,Alaska,370
Nov-51,Alaska,320
Nov-71,Alaska,0
Nov-81,Alaska,160
Nov-11,Alaska,880
Nov-21,Alaska,410
Nov-31,Alaska,170
Nov-41,Alaska,330
Nov-51,Alaska,380
Nov-61,Alaska,70
Nov-99,Alaska,1460
13-1011,Alaska,0
13-1021,Alaska,0
13-1022,Alaska,340
13-1023,Alaska,670
13-1031,Alaska,290
13-1032,Alaska,0
13-1041,Alaska,720
13-1051,Alaska,320
13-1074,Alaska,0
13-1078,Alaska,0
13-1081,Alaska,280
13-1111,Alaska,670
13-1121,Alaska,110
13-1141,Alaska,160
13-1151,Alaska,0
13-1161,Alaska,450
13-1199,Alaska,2830
13-2011,Alaska,2350
13-2021,Alaska,150
13-2031,Alaska,290
13-2041,Alaska,0
13-2051,Alaska,350
13-2052,Alaska,130
13-2053,Alaska,120
13-2061,Alaska,80
13-2071,Alaska,0
13-2072,Alaska,700
13-2081,Alaska,70
13-2082,Alaska,240
13-2099,Alaska,370
15-1111,Alaska,0
15-1121,Alaska,580
15-1131,Alaska,570
15-1132,Alaska,360
15-1133,Alaska,120
15-1141,Alaska,210
15-1142,Alaska,1010
15-1150,Alaska,0
15-1179,Alaska,0
15-1799,Alaska,0
15-2011,Alaska,0
15-2021,Alaska,0
15-2031,Alaska,130
15-2041,Alaska,50
15-2091,Alaska,0
17-1011,Alaska,210
17-1012,Alaska,30
17-1021,Alaska,150
17-1022,Alaska,310
17-2011,Alaska,0
17-2021,Alaska,0
17-2031,Alaska,0
17-2041,Alaska,0
17-2051,Alaska,1210
17-2061,Alaska,70
17-2071,Alaska,360
17-2072,Alaska,150
17-2081,Alaska,460
17-2111,Alaska,230
17-2112,Alaska,60
17-2121,Alaska,0
17-2131,Alaska,70
17-2141,Alaska,530
17-2151,Alaska,160
17-2161,Alaska,0
17-2171,Alaska,790
17-2199,Alaska,620
17-3011,Alaska,200
17-3012,Alaska,40
17-3013,Alaska,0
17-3021,Alaska,0
17-3022,Alaska,520
17-3023,Alaska,490
17-3024,Alaska,40
17-3025,Alaska,150
17-3026,Alaska,70
17-3027,Alaska,100
17-3029,Alaska,290
17-3031,Alaska,200
19-1011,Alaska,0
19-1012,Alaska,0
19-1013,Alaska,40
19-1021,Alaska,0
19-1022,Alaska,40
19-1023,Alaska,730
19-1029,Alaska,340
19-1031,Alaska,190
19-1032,Alaska,60
19-1041,Alaska,0
19-1042,Alaska,0
19-2011,Alaska,0
19-2012,Alaska,0
19-2021,Alaska,150
19-2031,Alaska,130
19-2032,Alaska,0
19-2041,Alaska,640
19-2042,Alaska,460
19-2043,Alaska,60
19-2099,Alaska,120
19-3011,Alaska,40
19-3022,Alaska,0
19-3031,Alaska,270
19-3032,Alaska,0
19-3039,Alaska,0
19-3041,Alaska,0
19-3051,Alaska,190
19-3091,Alaska,120
19-3092,Alaska,0
19-3093,Alaska,0
19-3094,Alaska,0
19-3099,Alaska,180
19-4011,Alaska,0
19-4021,Alaska,420
19-4031,Alaska,140
19-4041,Alaska,490
19-4051,Alaska,0
19-4061,Alaska,40
19-4091,Alaska,110
19-4092,Alaska,0
19-4093,Alaska,460
19-4099,Alaska,300
21-1011,Alaska,290
21-1012,Alaska,790
21-1013,Alaska,40
21-1014,Alaska,650
21-1015,Alaska,290
21-1021,Alaska,1290
21-1022,Alaska,370
21-1023,Alaska,460
21-1091,Alaska,300
21-1092,Alaska,300
21-1093,Alaska,1350
21-2011,Alaska,120
21-2021,Alaska,40
23-1011,Alaska,930
23-1012,Alaska,0
23-1021,Alaska,0
23-1022,Alaska,0
23-1023,Alaska,80
23-2011,Alaska,730
23-2091,Alaska,0
23-2093,Alaska,110
25-1000,Alaska,0
25-2011,Alaska,520
25-2012,Alaska,1000
25-2021,Alaska,3020
25-2022,Alaska,1420
25-2023,Alaska,80
25-2031,Alaska,2250
25-2032,Alaska,180
25-2053,Alaska,200
25-2054,Alaska,240
25-3011,Alaska,40
25-3021,Alaska,360
25-3999,Alaska,0
25-4011,Alaska,0
25-4012,Alaska,60
25-4013,Alaska,60
25-4021,Alaska,430
25-4031,Alaska,260
25-9011,Alaska,0
25-9021,Alaska,0
25-9031,Alaska,490
25-9041,Alaska,4770
27-1011,Alaska,0
27-1012,Alaska,0
27-1013,Alaska,0
27-1014,Alaska,0
27-1021,Alaska,0
27-1022,Alaska,0
27-1023,Alaska,70
27-1024,Alaska,270
27-1025,Alaska,40
27-1026,Alaska,190
27-1027,Alaska,0
27-2011,Alaska,50
27-2012,Alaska,150
27-2021,Alaska,0
27-2022,Alaska,420
27-2023,Alaska,240
27-2031,Alaska,0
27-2032,Alaska,0
27-2041,Alaska,0
27-2042,Alaska,0
27-3011,Alaska,120
27-3012,Alaska,0
27-3021,Alaska,0
27-3022,Alaska,120
27-3031,Alaska,470
27-3041,Alaska,90
27-3042,Alaska,70
27-3043,Alaska,120
27-3091,Alaska,60
27-4011,Alaska,140
27-4012,Alaska,100
27-4013,Alaska,0
27-4014,Alaska,0
27-4021,Alaska,50
27-4031,Alaska,0
27-4032,Alaska,0
29-1011,Alaska,90
29-1021,Alaska,270
29-1022,Alaska,0
29-1023,Alaska,0
29-1024,Alaska,0
29-1031,Alaska,150
29-1041,Alaska,70
29-1051,Alaska,470
29-1060,Alaska,0
29-1071,Alaska,430
29-1081,Alaska,0
29-1111,Alaska,0
29-1122,Alaska,270
29-1123,Alaska,460
29-1124,Alaska,0
29-1125,Alaska,0
29-1126,Alaska,160
29-1127,Alaska,310
29-1131,Alaska,190
29-1181,Alaska,0
29-1199,Alaska,200
