soc_name,sector
Civil Engineers,53
Architectural and Civil Drafters,53
Civil Engineering Technicians,53
Surveying and Mapping Technicians,53
Survey Researchers,53
Interior Designers,53
Pest Control Workers,53
Landscaping and Groundskeeping Workers,53
Pesticide Handlers; Sprayers; and Applicators; Vegetation,53
Tree Trimmers and Pruners,53
Residential Advisors,53
Real Estate Brokers,53
Real Estate Sales Agents,53
First-Line Supervisors of Mechanics; Installers; and Repairers,54
Natural Sciences Managers,54
Computer and Information Research Scientists,54
Mathematicians,54
Mathematical Technicians,54
Aerospace Engineers,54
Chemical Engineers,54
Computer Hardware Engineers,54
Electrical Engineers,54
Electronics Engineers; Except Computer,54
Industrial Engineers,54
Materials Engineers,54
Mechanical Engineers,54
Electrical and Electronics Drafters,54
Marine Engineers and Naval Architects,54
Nuclear Engineers,54
Mechanical Drafters,54
Aerospace Engineering and Operations Technicians,54
Electrical and Electronics Engineering Technicians,54
Electro-Mechanical Technicians,54
Mechanical Engineering Technicians,54
Engineering Technicians; Except Drafters; All Other,54
Biochemists and Biophysicists,54
Microbiologists,54
Biological Scientists; All Other,54
Astronomers,54
Physicists,54
Atmospheric and Space Scientists,54
Chemists,54
Materials Scientists,54
Environmental Scientists and Specialists; Including Health,54
Physical Scientists; All Other,54
Anthropologists and Archeologists,54
Historians,54
Political Scientists,54
Chemical Technicians,54
Social Science Research Assistants,54
Chief Executives,55
General and Operations Managers,55
Advertising and Promotions Managers,55
Marketing Managers,55
Sales Managers,55
Public Relations and Fundraising Managers,55
Administrative Services Managers,55
Purchasing Managers,55
Compensation and Benefits Managers,55
Human Resources Managers,55
Emergency Management Directors,55
Business Operations Specialists; All Other,55
Human Resources; Training; and Labor Relations Specialists; All Other,56
Management Analysts,56
Meeting; Convention; and Event Planners,56
Market Research Analysts and Marketing Specialists,56
Budget Analysts,56
Operations Research Analysts,56
Court Reporters,56
Human Resources Assistants; Except Payroll and Timekeeping,56
Receptionists and Information Clerks,56
Reservation and Transportation Ticket Agents and Travel Clerks,56
Training and Development Managers,61
Education Administrators; Preschool and Childcare Center/Program,61
Education Administrators; Elementary and Secondary School,61
Education Administrators; Postsecondary,61
Training and Development Specialists,61
Educational; Guidance; School; and Vocational Counselors,61
Child; Family; and School Social Workers,61
Directors; Religious Activities and Education,61
Postsecondary Teachers,61
Preschool Teachers; Except Special Education,61
Kindergarten Teachers; Except Special Education,61
Elementary School Teachers; Except Special Education,61
Middle School Teachers; Except Special and Career/Technical Education,61
Career/Technical Education Teachers; Middle School,61
Secondary School Teachers; Except Special and Career/Technical Education,61
Career/Technical Education Teachers; Secondary School,61
Special Education Teachers; Middle School,61
Special Education Teachers; Secondary School,61
Adult Basic and Secondary Education and Literacy Teachers and Instructors,61
Self-Enrichment Education Teachers,61
