IndustryID,States,gdp_pi
75,Hawaii,662
76,Hawaii,235
77,Hawaii,427
78,Hawaii,5730
79,Hawaii,3744
80,Hawaii,1986
81,Hawaii,1647
82,Hawaii,16431
83,Hawaii,4205
84,Hawaii,5456
85,Hawaii,6769
86,Hawaii,507
87,Hawaii,7386
88,Hawaii,4686
89,Hawaii,5821
90,Hawaii,50055
1,Idaho,0
2,Idaho,0
3,Idaho,0
4,Idaho,0
5,Idaho,0
6,Idaho,0
7,Idaho,0
8,Idaho,586
9,Idaho,40
10,Idaho,825
11,Idaho,2364
12,Idaho,7261
13,Idaho,4568
14,Idaho,405
15,Idaho,81
16,Idaho,388
17,Idaho,356
18,Idaho,224
19,Idaho,2607
20,Idaho,100
21,Idaho,146
22,Idaho,79
23,Idaho,74
24,Idaho,108
25,Idaho,2692
26,Idaho,1703
27,Idaho,21
28,Idaho,25
29,Idaho,169
30,Idaho,64
31,Idaho,27
32,Idaho,531
33,Idaho,152
34,Idaho,3372
35,Idaho,4542
36,Idaho,1754
37,Idaho,109
38,Idaho,362
39,Idaho,2
40,Idaho,817
41,Idaho,81
42,Idaho,17
43,Idaho,261
44,Idaho,105
45,Idaho,1193
46,Idaho,330
47,Idaho,68
48,Idaho,651
49,Idaho,145
50,Idaho,10555
51,Idaho,2902
52,Idaho,1248
53,Idaho,182
54,Idaho,873
55,Idaho,598
56,Idaho,7654
57,Idaho,7239
58,Idaho,415
59,Idaho,5683
60,Idaho,3131
61,Idaho,368
62,Idaho,299
63,Idaho,2463
64,Idaho,724
65,Idaho,1828
66,Idaho,1565
67,Idaho,263
68,Idaho,4712
69,Idaho,422
70,Idaho,4290
71,Idaho,1953
72,Idaho,1973
73,Idaho,364
74,Idaho,1905
75,Idaho,389
76,Idaho,93
77,Idaho,296
78,Idaho,1516
79,Idaho,403
80,Idaho,1114
81,Idaho,1179
82,Idaho,8409
83,Idaho,1570
84,Idaho,592
85,Idaho,6248
86,Idaho,4276
87,Idaho,7914
88,Idaho,2579
89,Idaho,13901
90,Idaho,35720
1,Illinois,709257
2,Illinois,635484
3,Illinois,6170
4,Illinois,5723
5,Illinois,448
6,Illinois,3522
7,Illinois,229
8,Illinois,3112
9,Illinois,180
10,Illinois,9397
11,Illinois,23013
12,Illinois,103370
13,Illinois,52219
14,Illinois,393
15,Illinois,1512
16,Illinois,2442
17,Illinois,9546
18,Illinois,20153
19,Illinois,4963
20,Illinois,3066
21,Illinois,4090
22,Illinois,866
23,Illinois,962
24,Illinois,4226
25,Illinois,51151
26,Illinois,10950
27,Illinois,180
28,Illinois,329
29,Illinois,1808
30,Illinois,2535
31,Illinois,11949
32,Illinois,18393
33,Illinois,5007
34,Illinois,52467
35,Illinois,36709
36,Illinois,25374
37,Illinois,5642
38,Illinois,2563
39,Illinois,360
40,Illinois,6565
41,Illinois,1705
42,Illinois,314
43,Illinois,5038
44,Illinois,3188
45,Illinois,23681
46,Illinois,6177
47,Illinois,2125
48,Illinois,12995
49,Illinois,2384
50,Illinois,156480
51,Illinois,67071
52,Illinois,24170
53,Illinois,12974
54,Illinois,26840
55,Illinois,3086
56,Illinois,89409
57,Illinois,80473
58,Illinois,8936
59,Illinois,95798
60,Illinois,55458
61,Illinois,13275
62,Illinois,9018
63,Illinois,33165
64,Illinois,17132
65,Illinois,23209
66,Illinois,21247
67,Illinois,1961
68,Illinois,58854
